               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10229,            0.031697,                   0,             0.15724,            0.086486,             0.05236,            0.016245,            0.083652,            0.024887,                   0,            0.070526,           0.0032749,           0.0032749
                   1,            0.073607,            0.031939,                   0,             0.36336,             0.25405,             0.19003,            0.060045,            0.072531,            0.022741,                   0,            0.040461,           0.0065428,           0.0065428
                   2,            0.063691,            0.027935,                   0,             0.57401,             0.40541,             0.41779,             0.16067,            0.058584,            0.021997,                   0,            0.010329,           0.0097447,           0.0097447
                   3,            0.055505,            0.025919,                   0,             0.62207,             0.45946,             0.51855,             0.24599,            0.052744,            0.020756,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.051357,            0.023762,                   0,             0.58405,             0.44324,             0.45162,             0.18477,            0.054332,             0.01966,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.048373,            0.024259,                   0,             0.73978,             0.52249,             0.61894,             0.31342,            0.047852,            0.018816,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.044579,            0.021576,                   0,             0.72464,             0.61167,             0.66285,             0.34079,             0.04583,            0.018379,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.043575,              0.0219,                   0,             0.73097,                 0.6,             0.67024,             0.33653,            0.045561,            0.018039,                   0,            0.009406,            0.009406,            0.009406
                   8,             0.04201,            0.021288,                   0,             0.72485,             0.54595,             0.58839,             0.26567,            0.050357,            0.019405,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.042478,            0.021235,                   0,             0.72036,             0.61268,             0.67251,             0.34312,            0.044611,            0.019395,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.039515,            0.021416,                   0,             0.76241,             0.63243,              0.7192,              0.3879,            0.043116,             0.01778,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.038197,            0.020839,                   0,             0.82213,             0.59961,             0.72042,             0.39072,            0.042048,            0.018076,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.038834,            0.020737,                   0,             0.79856,             0.61622,             0.69047,             0.35308,            0.043561,            0.019348,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.038819,            0.021085,                   0,             0.77075,             0.63243,             0.69964,             0.38065,            0.042897,            0.019763,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.037039,             0.02091,                   0,             0.62027,             0.57392,             0.61392,             0.31318,            0.045594,            0.019836,                   0,            0.008713,            0.008713,            0.008713
